"longitude","latitude","genus","species","country"
-64.305524,-23.976228,"Rhodnius","Psammolestes coreodes","AR"
-64.362529,-23.558006,"Rhodnius","Psammolestes coreodes","AR"
-64.68331,-24.28331,"Rhodnius","Psammolestes coreodes","AR"
-64.678458,-24.177143,"Rhodnius","Psammolestes coreodes","AR"
-62.35001,-24.36667,"Rhodnius","Psammolestes coreodes","AR"
-63.69157,-22.044983,"Rhodnius","Psammolestes coreodes","AR"
-63.816715,-22.533305,"Rhodnius","Psammolestes coreodes","AR"
-63.52568,-20.040921,"Rhodnius","Psammolestes coreodes","BO"
-64.890747,-24.650569,"Rhodnius","Psammolestes coreodes","AR"
-64.46671,-23.66671,"Rhodnius","Psammolestes coreodes","AR"
-64.41671,-23.54999,"Rhodnius","Psammolestes coreodes","AR"
-64.45003,-22.88331,"Rhodnius","Psammolestes coreodes","AR"
-64.750016,-31.450009,"Rhodnius","Psammolestes coreodes","AR"
-65.066676,-23.600098,"Rhodnius","Psammolestes coreodes","AR"
-64.683315,-24.283332,"Rhodnius","Psammolestes coreodes","AR"
-64.683315,-24.283332,"Rhodnius","Psammolestes coreodes","AR"
-64.300017,-23.983337,"Rhodnius","Psammolestes coreodes","AR"
-64.466691,-23.666671,"Rhodnius","Psammolestes coreodes","AR"
-62.43251,-29.346667,"Rhodnius","Psammolestes coreodes","AR"
-63.30001,-26.41671,"Rhodnius","Psammolestes coreodes","AR"
-58.433333,-28.466667,"Rhodnius","Psammolestes coreodes","AR"
-58.556732,-27.511312,"Rhodnius","Psammolestes coreodes","AR"
-58.556732,-27.511312,"Rhodnius","Psammolestes coreodes","AR"
-58.556732,-27.511312,"Rhodnius","Psammolestes coreodes","AR"
-58.516683,-27.366661,"Rhodnius","Psammolestes coreodes","AR"
-58.566667,-28.000177,"Rhodnius","Psammolestes coreodes","AR"
-63.473257,-29.383857,"Rhodnius","Psammolestes coreodes","AR"
-58.566667,-28.99942,"Rhodnius","Psammolestes coreodes","AR"
-58.073572,-29.184582,"Rhodnius","Psammolestes coreodes","AR"
-58.073572,-29.184582,"Rhodnius","Psammolestes coreodes","AR"
-58.63331,-28.250002,"Rhodnius","Psammolestes coreodes","AR"
-58.566667,-28.000177,"Rhodnius","Psammolestes coreodes","AR"
-62.16671,-27.61671,"Rhodnius","Psammolestes coreodes","AR"
-64.316983,-26.100356,"Rhodnius","Psammolestes coreodes","AR"
-62.33391,-26.01501,"Rhodnius","Psammolestes coreodes","AR"
-63.521603,-20.024964,"Rhodnius","Psammolestes coreodes","BO"
-62.85001,-26.58331,"Rhodnius","Psammolestes coreodes","AR"
-62.83331,-28.46671,"Rhodnius","Psammolestes coreodes","AR"
-64.650001,-24.216692,"Rhodnius","Psammolestes coreodes","AR"
-64.362529,-23.558006,"Rhodnius","Psammolestes coreodes","AR"
-64.866696,-24.233302,"Rhodnius","Psammolestes coreodes","AR"
-64.510015,-24.203005,"Rhodnius","Psammolestes coreodes","AR"
-64.583299,-24.083314,"Rhodnius","Psammolestes coreodes","AR"
-58.259078,-27.565906,"Rhodnius","Psammolestes coreodes","AR"
-58.804085,-27.951714,"Rhodnius","Psammolestes coreodes","AR"
-63.320943,-32.409857,"Rhodnius","Psammolestes coreodes","AR"
-58.129303,-25.049334,"Rhodnius","Psammolestes coreodes","AR"
-58.159904,-25.070049,"Rhodnius","Psammolestes coreodes","AR"
-58.179817,-24.991035,"Rhodnius","Psammolestes coreodes","AR"
-61.54217,-27.09151,"Rhodnius","Psammolestes coreodes","AR"
-61.54189,-27.09067,"Rhodnius","Psammolestes coreodes","AR"
-61.54947,-27.08658,"Rhodnius","Psammolestes coreodes","AR"
-61.53464,-27.08544,"Rhodnius","Psammolestes coreodes","AR"
-65.004983,-30.851919,"Rhodnius","Psammolestes coreodes","AR"
-61.53464,-27.08482,"Rhodnius","Psammolestes coreodes","AR"
-61.57239,-27.13811,"Rhodnius","Psammolestes coreodes","AR"
-61.53208,-27.08644,"Rhodnius","Psammolestes coreodes","AR"
-61.5325,-27.08892,"Rhodnius","Psammolestes coreodes","AR"
-61.53222,-27.08639,"Rhodnius","Psammolestes coreodes","AR"
-61.53272,-27.09075,"Rhodnius","Psammolestes coreodes","AR"
-61.57664,-27.13847,"Rhodnius","Psammolestes coreodes","AR"
-61.53392,-27.09083,"Rhodnius","Psammolestes coreodes","AR"
